Time	Current
282.9	3.111
282.9	3.117
282.9	3.108
282.9	3.1140000000000003
282.9	3.118
282.9	3.125
282.9	3.116
282.9	3.118
282.9	3.109
282.9	3.116
282.9	3.111
282.9	3.117
282.9	3.108
282.9	3.1140000000000003
282.9	3.118
282.9	3.125
282.9	3.116
282.9	3.118
282.9	3.109
282.9	3.116
282.9	3.111
282.9	3.117
282.9	3.108
282.9	3.1140000000000003
282.9	3.118
282.9	3.125
282.9	3.116
282.9	3.118
282.9	3.109
282.9	3.116
282.9	3.111
282.9	3.117
282.9	3.108
282.9	3.1140000000000003
282.9	3.118
282.9	3.125
282.9	3.116
282.9	3.118
282.9	3.109
282.9	3.116
282.9	3.111
282.9	3.117
282.9	3.108
282.9	3.1140000000000003
282.9	3.118
282.9	3.125
282.9	3.116
282.9	3.118
282.9	3.109
282.9	3.116
282.9	3.111
282.9	3.117
283.0	3.109
283.0	3.117
283.0	3.115
283.0	3.111
283.0	3.11
283.0	3.119
283.0	3.113
283.0	3.116
283.0	3.123
283.0	3.121
283.0	3.109
283.0	3.117
283.0	3.115
283.0	3.111
283.0	3.11
283.0	3.119
283.0	3.113
283.0	3.116
283.0	3.123
283.0	3.121
283.0	3.109
283.0	3.117
283.0	3.115
283.0	3.111
283.0	3.11
283.0	3.119
283.0	3.113
283.0	3.116
283.0	3.123
283.0	3.121
283.0	3.109
283.0	3.117
283.0	3.115
283.0	3.111
283.0	3.11
283.0	3.119
283.0	3.113
283.0	3.116
283.0	3.123
283.0	3.121
283.0	3.109
283.0	3.117
283.0	3.115
283.0	3.111
283.0	3.11
283.0	3.119
283.0	3.113
283.0	3.116
283.0	3.123
283.0	3.121
283.0	3.109
283.0	3.117
283.0	3.115
283.0	3.111
283.0	3.11
283.0	3.119
283.0	3.113
283.0	3.116
283.0	3.123
283.0	3.121
283.0	3.109
283.0	3.117
283.0	3.115
283.0	3.111
283.0	3.11
283.0	3.119
283.0	3.113
283.0	3.116
283.0	3.123
283.0	3.121
283.0	3.109
283.0	3.117
283.0	3.115
283.0	3.111
283.0	3.11
283.0	3.119
283.0	3.113
283.0	3.116
283.0	3.123
283.0	3.121
283.0	3.109
283.0	3.117
283.0	3.115
283.0	3.111
283.0	3.11
283.0	3.119
283.0	3.113
283.0	3.116
283.0	3.123
283.0	3.121
283.0	3.109
283.0	3.117
283.0	3.115
283.0	3.111
283.0	3.11
283.0	3.119
283.0	3.113
283.0	3.116
283.0	3.123
283.0	3.121
283.1	3.117
283.1	3.123
283.1	3.116
283.1	3.125
283.1	3.112
283.1	3.118
283.1	3.119
283.1	3.119
283.1	3.116
283.1	3.122
283.1	3.117
283.1	3.123
283.1	3.116
283.1	3.125
283.1	3.112
283.1	3.118
283.1	3.119
283.1	3.119
283.1	3.116
283.1	3.122
283.1	3.117
283.1	3.123
283.1	3.116
283.1	3.125
283.1	3.112
283.1	3.118
283.1	3.119
283.1	3.119
283.1	3.116
283.1	3.122
283.1	3.117
283.1	3.123
283.1	3.116
283.1	3.125
283.1	3.112
283.1	3.118
283.1	3.119
283.1	3.119
283.1	3.116
283.1	3.122
283.1	3.117
283.1	3.123
283.1	3.116
283.1	3.125
283.1	3.112
283.1	3.118
283.1	3.119
283.1	3.119
283.1	3.116
283.1	3.122
283.1	3.117
283.1	3.123
283.1	3.116
283.1	3.125
283.1	3.112
283.1	3.118
283.1	3.119
283.1	3.119
283.1	3.116
283.1	3.122
283.1	3.117
283.1	3.123
283.1	3.116
283.1	3.125
283.1	3.112
283.1	3.118
283.1	3.119
283.1	3.119
283.1	3.116
283.1	3.122
283.1	3.117
283.1	3.123
283.1	3.116
283.1	3.125
283.1	3.112
283.1	3.118
283.1	3.119
283.1	3.119
283.1	3.116
283.1	3.122
283.1	3.117
283.1	3.123
283.1	3.116
283.1	3.125
283.1	3.112
283.1	3.118
283.1	3.119
283.1	3.119
283.1	3.116
283.1	3.122
283.1	3.117
283.1	3.123
283.1	3.116
283.1	3.125
283.1	3.112
283.1	3.118
283.1	3.119
283.1	3.119
283.1	3.116
283.1	3.122
283.2	3.121
283.2	3.121
283.2	3.118
283.2	3.126
283.2	3.109
283.2	3.124
283.2	3.121
283.2	3.122
283.2	3.116
283.2	3.125
283.2	3.121
283.2	3.121
283.2	3.118
283.2	3.126
283.2	3.109
283.2	3.124
283.2	3.121
283.2	3.122
283.2	3.116
283.2	3.125
283.2	3.121
283.2	3.121
283.2	3.118
283.2	3.126
283.2	3.109
283.2	3.124
283.2	3.121
283.2	3.122
283.2	3.116
283.2	3.125
283.2	3.121
283.2	3.121
283.2	3.118
283.2	3.126
283.2	3.109
283.2	3.124
283.2	3.121
283.2	3.122
283.2	3.116
283.2	3.125
283.2	3.121
283.2	3.121
283.2	3.118
283.2	3.126
283.2	3.109
283.2	3.124
283.2	3.121
283.2	3.122
283.2	3.116
283.2	3.125
283.2	3.121
283.2	3.121
283.2	3.118
283.2	3.126
283.2	3.109
283.2	3.124
283.2	3.121
283.2	3.122
283.2	3.116
283.2	3.125
283.2	3.121
283.2	3.121
283.2	3.118
283.2	3.126
283.2	3.109
283.2	3.124
283.2	3.121
283.2	3.122
283.2	3.116
283.2	3.125
283.2	3.121
283.2	3.121
283.2	3.118
283.2	3.126
283.2	3.109
283.2	3.124
283.2	3.121
283.2	3.122
283.2	3.116
283.2	3.125
283.2	3.121
283.2	3.121
283.2	3.118
283.2	3.126
283.2	3.109
283.2	3.124
283.2	3.121
283.2	3.122
283.2	3.116
283.2	3.125
283.2	3.121
283.2	3.121
283.2	3.118
283.2	3.126
283.2	3.109
283.2	3.124
283.2	3.121
283.2	3.122
283.2	3.116
283.2	3.125
283.3	3.12
283.3	3.123
283.3	3.118
283.3	3.125
283.3	3.115
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.12
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.118
283.3	3.125
283.3	3.115
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.12
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.118
283.3	3.125
283.3	3.115
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.12
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.118
283.3	3.125
283.3	3.115
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.12
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.118
283.3	3.125
283.3	3.115
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.12
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.118
283.3	3.125
283.3	3.115
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.12
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.118
283.3	3.125
283.3	3.115
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.12
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.118
283.3	3.125
283.3	3.115
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.12
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.118
283.3	3.125
283.3	3.115
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.12
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.118
283.3	3.125
283.3	3.115
283.3	3.122
283.3	3.12
283.3	3.123
283.3	3.12
283.3	3.122
283.4	3.118
283.4	3.124
283.4	3.12
283.4	3.116
283.4	3.103
283.4	2.948
283.4	2.434
283.4	2.092
283.4	1.846
283.4	1.807
283.4	3.118
283.4	3.124
283.4	3.12
283.4	3.116
283.4	3.103
283.4	2.948
283.4	2.434
283.4	2.092
283.4	1.846
283.4	1.807
283.4	3.118
283.4	3.124
283.4	3.12
283.4	3.116
283.4	3.103
283.4	2.948
283.4	2.434
283.4	2.092
283.4	1.846
283.4	1.807
283.4	3.118
283.4	3.124
283.4	3.12
283.4	3.116
283.4	3.103
283.4	2.948
283.4	2.434
283.4	2.092
283.4	1.846
283.4	1.807
283.4	3.118
283.4	3.124
283.4	3.12
283.4	3.116
283.4	3.103
283.4	2.948
283.4	2.434
283.4	2.092
283.4	1.846
283.4	1.807
283.4	3.118
283.4	3.124
283.4	3.12
283.4	3.116
283.4	3.103
283.4	2.948
283.4	2.434
283.4	2.092
283.4	1.846
283.4	1.807
283.4	3.118
283.4	3.124
283.4	3.12
283.4	3.116
283.4	3.103
283.4	2.948
283.4	2.434
283.4	2.092
283.4	1.846
283.4	1.807
283.4	3.118
283.4	3.124
283.4	3.12
283.4	3.116
283.4	3.103
283.4	2.948
283.4	2.434
283.4	2.092
283.4	1.846
283.4	1.807
283.4	3.118
283.4	3.124
283.4	3.12
283.4	3.116
283.4	3.103
283.4	2.948
283.4	2.434
283.4	2.092
283.4	1.846
283.4	1.807
283.4	3.118
283.4	3.124
283.4	3.12
283.4	3.116
283.4	3.103
283.4	2.948
283.4	2.434
283.4	2.092
283.4	1.846
283.4	1.807
283.5	1.758
283.5	1.853
283.5	1.765
283.5	1.775
283.5	1.629
283.5	1.556
283.5	1.539
283.5	1.569
283.5	1.647
283.5	1.776
283.5	1.758
283.5	1.853
283.5	1.765
283.5	1.775
283.5	1.629
